municipio_ceasa;cod_ibge_municipio;uf_ceasa;dsc_ceasa;dsc_produto;sig_unidade_medida;data_preco;preco_diario
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/06/30 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/05 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/12 00:00:00.000;4.32
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/07 00:00:00.000;4.45
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/19 00:00:00.000;4.35
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/10 00:00:00.000;4.5
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/03 00:00:00.000;4.55
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/28 00:00:00.000;4.65
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/24 00:00:00.000;4.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/07 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/31 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/04 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/26 00:00:00.000;4.75
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/14 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/07/21 00:00:00.000;4.4
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/02 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/18 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/08 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/11 00:00:00.000;4.65
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/04 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/06 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/13 00:00:00.000;4.65
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/30 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/08/28 00:00:00.000;4.7
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;ABACATE                       ;KG ;2023/09/01 00:00:00.000;4.57
ARAÇATUBA-SP                            ;3502804                       ;SP;CEAGESP - ARACATUBA           ;A
