produto;classificao_produto;id_produto;uf;regiao;ano;mes;dsc_nivel_comercializacao;valor_produto_kg
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;CE        ;NORDESTE       ;2025;12;PREÇO PAGO PELO PRODUTOR                                    ;105,0
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;BA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;15,0
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;CE        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;100,0
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;GO        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;17,3
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;MG        ;SUDESTE        ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
2,4-D                    ;NÃO INFORMADO       ;7052;MS        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;19,72
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;MT        ;CENTRO-OESTE   ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,27
2,4-D                    ;2,4 D FERSOL 867 G/L;4047;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;28,8
2,4-D                    ;NÃO INFORMADO       ;7052;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;20,0
2,4-D                    ;806 G/L 2,4-D ÁCIDO ;11566;RS        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,75
2,4D DMA 806 BR          ;NÃO INFORMADO       ;10736;PR        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;18,87
2,4D DMA 806 BR          ;NÃO INFORMADO       ;10736;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;19,28
2,4D DMA 806 BR          ;NÃO INFORMADO       ;10736;MA        ;NORDESTE       ;2025;11;PREÇO PAGO PELO PRODUTOR                                    ;18,0
2,4D DMA 806 BR          ;NÃO INFORMADO       ;10736;MA        ;NORDESTE       ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;21,5
2,4D DMA 806 BR          ;NÃO INFORMADO       ;10736;PR        ;SUL            ;2026;3;PREÇO PAGO PELO PRODUTOR                                    ;22,8
25-00-25                 ;NÃO INFORMADO       ;4527;SC        ;SUL            ;2025;9;PREÇO PAGO PELO PRODUTOR                                    ;3,11
